timestamp,latitude,longitude,geofence_name,distance_meters,inside,event,alert_active,output_active
2026-04-02 14:31:11,40.744091255,-84.105804351,Elm St. Bridge,859.73,False,CHECK,False,False
2026-04-02 14:31:12,40.744085604,-84.105808082,Main St. Bridge,237.5,False,CHECK,False,False
2026-04-02 14:31:12,40.744085604,-84.105808082,Elm St. Bridge,859.32,False,CHECK,False,False
2026-04-02 14:31:13,40.744078517,-84.105810485,Main St. Bridge,236.77,False,CHECK,False,False
2026-04-02 14:31:13,40.744078517,-84.105810485,Elm St. Bridge,858.72,False,CHECK,False,False
2026-04-02 14:31:14,40.744074499,-84.105810614,Main St. Bridge,236.34,False,CHECK,False,False
2026-04-02 14:31:14,40.744074499,-84.105810614,Elm St. Bridge,858.33,False,CHECK,False,False
2026-04-02 14:31:15,40.744073708,-84.105809546,Main St. Bridge,236.23,False,CHECK,False,False
2026-04-02 14:31:15,40.744073708,-84.105809546,Elm St. Bridge,858.21,False,CHECK,False,False
2026-04-02 14:31:16,40.744076549,-84.105810041,Main St. Bridge,236.55,False,CHECK,False,False
2026-04-02 14:31:16,40.744076549,-84.105810041,Elm St. Bridge,858.51,False,CHECK,False,False
2026-04-02 14:31:17,40.744078203,-84.10581203,Main St. Bridge,236.77,False,CHECK,False,False
2026-04-02 14:31:17,40.744078203,-84.10581203,Elm St. Bridge,858.75,False,CHECK,False,False
2026-04-02 14:44:28,40.744358686,-84.105466332,Main St. Bridge,263.23,False,CHECK,False,False
2026-04-02 14:44:28,40.744358686,-84.105466332,Elm St. Bridge,873.49,False,CHECK,False,False
2026-04-02 14:44:29,40.744388083,-84.105447066,Main St. Bridge,266.36,False,CHECK,False,False
2026-04-02 14:44:29,40.744388083,-84.105447066,Elm St. Bridge,875.75,False,CHECK,False,False
2026-04-02 14:44:30,40.744380968,-84.105445525,Main St. Bridge,265.56,False,CHECK,False,False
2026-04-02 14:44:30,40.744380968,-84.105445525,Elm St. Bridge,874.98,False,CHECK,False,False
2026-04-02 14:44:32,40.744389066,-84.105443938,Main St. Bridge,266.45,False,CHECK,False,False
2026-04-02 14:44:32,40.744389066,-84.105443938,Elm St. Bridge,875.74,False,CHECK,False,False
2026-04-02 14:44:33,40.744347022,-84.105472681,Main St. Bridge,261.99,False,CHECK,False,False
2026-04-02 14:44:33,40.744347022,-84.105472681,Elm St. Bridge,872.55,False,CHECK,False,False
2026-04-02 14:44:34,40.744312478,-84.105493847,Main St. Bridge,258.32,False,CHECK,False,False
2026-04-02 14:44:34,40.744312478,-84.105493847,Elm St. Bridge,869.86,False,CHECK,False,False
2026-04-02 14:44:35,40.7442945,-84.105507274,Main St. Bridge,256.45,False,CHECK,False,False
2026-04-02 14:44:35,40.7442945,-84.105507274,Elm St. Bridge,868.55,False,CHECK,False,False
2026-04-02 14:44:36,40.744269011,-84.105516111,Main St. Bridge,253.7,False,CHECK,False,False
2026-04-02 14:44:36,40.744269011,-84.105516111,Elm St. Bridge,866.33,False,CHECK,False,False
2026-04-02 14:44:37,40.74425837,-84.105522573,Main St. Bridge,252.59,False,CHECK,False,False
2026-04-02 14:44:37,40.74425837,-84.105522573,Elm St. Bridge,865.5,False,CHECK,False,False
2026-04-02 14:44:38,40.744206844,-84.105549553,Main St. Bridge,247.15,False,CHECK,False,False
2026-04-02 14:44:38,40.744206844,-84.105549553,Elm St. Bridge,861.36,False,CHECK,False,False
2026-04-02 14:44:39,40.744207433,-84.105552451,Main St. Bridge,247.24,False,CHECK,False,False
2026-04-02 14:44:39,40.744207433,-84.105552451,Elm St. Bridge,861.53,False,CHECK,False,False
2026-04-02 14:44:40,40.744241379,-84.105531587,Main St. Bridge,250.79,False,CHECK,False,False
2026-04-02 14:44:40,40.744241379,-84.105531587,Elm St. Bridge,864.14,False,CHECK,False,False
2026-04-02 14:44:41,40.744213921,-84.105541743,Main St. Bridge,247.85,False,CHECK,False,False
2026-04-02 14:44:41,40.744213921,-84.105541743,Elm St. Bridge,861.78,False,CHECK,False,False
2026-04-02 14:44:42,40.744201712,-84.105554069,Main St. Bridge,246.63,False,CHECK,False,False
2026-04-02 14:44:42,40.744201712,-84.105554069,Elm St. Bridge,861.02,False,CHECK,False,False
2026-04-02 14:44:43,40.744213803,-84.105543318,Main St. Bridge,247.86,False,CHECK,False,False
2026-04-02 14:44:43,40.744213803,-84.105543318,Elm St. Bridge,861.82,False,CHECK,False,False
2026-04-02 14:44:44,40.744187894,-84.105545439,Main St. Bridge,245.02,False,CHECK,False,False
2026-04-02 14:44:44,40.744187894,-84.105545439,Elm St. Bridge,859.32,False,CHECK,False,False
2026-04-02 14:44:45,40.744150447,-84.105567619,Main St. Bridge,241.12,False,CHECK,False,False
2026-04-02 14:44:45,40.744150447,-84.105567619,Elm St. Bridge,856.43,False,CHECK,False,False
2026-04-02 14:44:46,40.74412888,-84.10557951,Main St. Bridge,238.87,False,CHECK,False,False
2026-04-02 14:44:46,40.74412888,-84.10557951,Elm St. Bridge,854.73,False,CHECK,False,False
2026-04-02 14:44:47,40.744149147,-84.105569332,Main St. Bridge,240.99,False,CHECK,False,False
2026-04-02 14:44:47,40.744149147,-84.105569332,Elm St. Bridge,856.36,False,CHECK,False,False
2026-04-02 14:44:48,40.744027031,-84.10565153,Main St. Bridge,228.58,False,CHECK,False,False
2026-04-02 14:44:48,40.744027031,-84.10565153,Elm St. Bridge,847.42,False,CHECK,False,False
2026-04-02 14:44:49,40.744007665,-84.105661955,Main St. Bridge,226.61,False,CHECK,False,False
2026-04-02 14:44:49,40.744007665,-84.105661955,Elm St. Bridge,845.91,False,CHECK,False,False
2026-04-02 14:44:50,40.74399963,-84.105660525,Main St. Bridge,225.71,False,CHECK,False,False
2026-04-02 14:44:50,40.74399963,-84.105660525,Elm St. Bridge,845.06,False,CHECK,False,False
2026-04-02 14:44:51,40.744002871,-84.105657214,Main St. Bridge,226.02,False,CHECK,False,False
2026-04-02 14:44:51,40.744002871,-84.105657214,Elm St. Bridge,845.25,False,CHECK,False,False
2026-04-02 14:46:00,40.744012733,-84.105652703,Main St. Bridge,227.03,False,CHECK,False,False
2026-04-02 14:46:00,40.744012733,-84.105652703,Elm St. Bridge,846.05,False,CHECK,False,False
2026-04-02 14:46:01,40.74402047,-84.105647585,Main St. Bridge,227.81,False,CHECK,False,False
2026-04-02 14:46:01,40.74402047,-84.105647585,Elm St. Bridge,846.62,False,CHECK,False,False
2026-04-02 14:46:02,40.744028531,-84.105649837,Main St. Bridge,228.72,False,CHECK,False,False
2026-04-02 14:46:02,40.744028531,-84.105649837,Elm St. Bridge,847.5,False,CHECK,False,False
2026-04-02 14:46:03,40.74401949,-84.10565423,Main St. Bridge,227.79,False,CHECK,False,False
2026-04-02 14:46:03,40.74401949,-84.10565423,Elm St. Bridge,846.78,False,CHECK,False,False
2026-04-02 14:46:04,40.744033594,-84.105639244,Main St. Bridge,229.13,False,CHECK,False,False
